url_or_pattern,page_family,repository_scope,indexability,primary_intent,recommendation,priority,confidence,gsc_metrics,ga4_metrics,ahrefs_metrics,evidence
/,Home,1 path x 5 public locales,Indexable,private transfers overview,Improve,P1,High,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,src/routes/{-$locale}/index.tsx
/countries,Directory,1 x 5,Indexable,country transfer directory,Improve,P2,High,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,src/routes/sitemap[.]xml.ts:22
/{greece|spain|italy|portugal|cyprus|turkey},Country hubs,6 x 5,Conditional/indexable,private transfers by country,Improve before scaling,P1,High,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,src/data/markets.ts:22-191
/airports,Airport directory,1 x 5,Indexable,airport transfer directory,Keep/improve,P1,High,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,src/routes/sitemap[.]xml.ts:24
/airports/{authored-slug},Airport hubs,18 curated plus market/indexable airports x 5,Conditional,indexable airport transfer,Keep authored; quality-gate generated,P1,High,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,src/lib/indexable-airports.ts:1-88
/airports/{airport}/{route},Airport route pages,77 records x 5,Indexable,exact airport-to-destination transfer,Improve; resolve overlap,P1,High,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,src/data/airport-routes.ts
/ports,Port directory,1 x 5,Indexable,port transfer directory,Improve,P2,High,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,src/routes/sitemap[.]xml.ts:25
/ports/{slug},Port hubs,Indexable ports x 5,Conditional,port transfer,Improve,P1,High,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,src/routes/{-$locale}/ports.$slug.tsx
/cities,City directory,1 x 5,Indexable,city/resort transfer directory,Improve,P2,High,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,src/routes/sitemap[.]xml.ts:26
/cities/{slug},City hubs,city destinations and market hubs x 5,Indexable/private-locale noindex,private transfers in destination,Quality-gate thin templates,P1,High,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,src/routes/{-$locale}/cities.$slug.tsx:55-61
/routes,Route directory,1 x 5,Indexable,Crete transfer routes,Keep/improve,P1,High,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,src/routes/sitemap[.]xml.ts:27
/routes/{slug},Fixed-price route pages,32 x 5,Indexable,exact route price/time/booking,Keep/improve; define primary URL,P1,High,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,src/data/routes.ts:139-572
/regions,Region directory,1 x 5,Indexable,Crete coverage regions,Improve,P2,High,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,src/routes/sitemap[.]xml.ts:28
/regions/{slug},Region hubs,4 x 5,Indexable,transfers by Crete region,Improve,P2,High,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,src/data/regions.ts
/services,Service directory,1 x 5,Indexable,transfer service types,Keep/improve,P2,High,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,src/routes/sitemap[.]xml.ts:29
/services/{slug},Service pages,6 x 5,Indexable,airport/port/hotel/tour/distance/group,Keep/improve,P1,High,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,src/data/services.ts:14-112
